,count
44.16,1
44.25,1
44.4,3
44.88,1
45.0,31
45.21,1
45.24,1
45.3,2
45.36,1
45.5,1
45.6,4
45.72,1
46.2,1
46.8,5
46.92,1
47.7,1
47.94,1
48.0,544
48.01,11
48.6,2
49.2,2
49.5,5
49.68,1
50.07,1
50.22,1
50.4,5
51.0,7
51.9,1
52.5,2
52.65,1
52.8,4
53.1,1
53.16,1
53.4,1
54.0,24
54.36,1
54.6,1
55.2,2
55.8,1
56.88,1
57.0,2
57.6,2
58.05,1
58.5,2
58.8,3
59.4,1
59.7,1
60.0,886
60.03,1
60.3,2
60.75,1
61.2,3
61.56,1
61.8,2
61.92,3
62.04,1
62.4,3
62.84,1
63.0,4
63.12,1
63.6,23
63.95,2
64.2,1
64.8,3
65.1,1
65.52,160
66.0,12
66.17,1
66.3,2
66.6,1
67.5,9
68.4,2
69.0,2
69.3,1
69.6,1
70.2,1
70.56,1
70.8,1
72.0,68
72.54,1
73.2,1
74.5,1
74.85,1
75.0,21
76.17,1
76.26,2
76.8,2
77.1,1
77.4,1
77.7,1
77.76,2
78.0,10
78.7,2
78.75,3
79.5,2
79.74,1
80.7,1
80.76,1
81.0,5
82.5,1
82.8,2
83.31,1
83.34,2
84.0,3
84.48,1
85.2,1
85.8,1
86.94,1
87.0,3
87.9,1
89.7,1
90.0,464
90.06,1
92.4,1
93.0,2
93.3,1
94.2,1
94.74,1
95.7,1
96.0,8
96.9,1
98.4,1
99.0,1
