,count
0.1,3153
0.11,19506
0.12,55747
0.13,1884
0.14,8062
0.15,69213
0.16,3914
0.17,111
0.18,42773
0.19,11560
0.2,101
0.21,12009
0.22,19648
0.23,5
0.24,23718
0.25,136
0.26,5387
0.27,11211
0.28,4
0.29,3453
0.3,87500
0.31,17
0.32,1661
0.33,11
0.34,4751
0.36,16131
0.37,36
0.38,18761
0.39,10
0.4,347
0.41,32
0.42,1953
0.43,2183
0.45,10034
0.46,2
0.47,83
0.48,3979
0.49,36
0.5,1197
0.51,8
0.52,3
0.53,94
0.54,5439
0.55,2
0.57,6
0.58,820
0.59,2
0.6,42265
0.61,4
0.62,3
0.63,177
0.64,1
0.65,1423
0.66,16
0.67,6577
0.68,1
0.69,6
0.72,2925
0.73,7
0.74,1
0.75,11958
0.76,42
0.78,16
0.79,1
0.81,1080
0.83,3
0.84,719
0.85,1
0.86,9
0.87,6
0.88,3
0.89,5
0.9,21232
0.91,2
0.93,3
0.94,37
0.96,275
0.97,70
0.98,1
0.99,4
1.0,6
1.01,509
1.02,19
1.05,681
1.08,2289
1.1,1
1.11,2
1.12,6229
1.13,1
1.14,10
1.17,927
1.19,5
1.2,12413
1.21,2
1.22,2
1.23,5
1.26,162
1.27,2
1.28,1
1.29,3
1.32,9
1.34,2
1.35,3223
1.38,12
1.39,1
1.41,10
1.44,160
1.45,1
1.47,13
1.49,10
1.5,11902
1.51,11
1.52,1
1.53,12
1.54,2
1.55,1
1.56,10
1.57,2288
1.59,3
1.61,1
1.62,1414
1.63,2
1.65,17
1.66,1
1.68,29
1.69,36
1.71,5
1.74,12
1.77,6
1.79,1
1.8,6314
1.81,11
1.83,9
1.84,1
1.85,2
1.86,35
1.88,1808
1.89,591
1.9,1
1.92,117
1.94,1
1.95,35
1.98,9
1.99,3
2.01,23
2.02,598
2.04,11
2.06,1
2.07,11
2.09,2
2.1,831
2.12,1
2.13,5
2.16,273
2.17,4
2.19,5
2.22,5
2.23,3
2.24,1
2.25,3271
2.26,1
2.27,1
2.28,4
2.31,4
2.34,482
2.36,33
2.37,8
2.38,1
2.39,2
2.4,3688
2.41,2
2.43,172
2.44,1
2.46,7
2.49,6
2.52,31
2.53,1
2.55,16
2.57,1
2.58,6
2.61,16
2.62,814
2.64,7
2.67,5
2.69,8
2.7,1005
2.72,1
2.73,3
2.74,1
2.76,7
2.79,3
2.82,3
2.83,10
2.85,11
2.87,2
2.88,22
2.91,5
2.94,72
2.95,1
2.97,6
2.99,1
3.0,15493
3.01,3
3.03,9
3.04,32
3.06,6
3.07,1
3.08,1
3.09,3
3.12,8
3.15,7
3.17,1
3.18,1
3.21,2
3.24,63
3.27,5
3.3,63
3.32,7
3.33,5
3.36,10
3.38,427
3.39,2
3.41,1
3.44,1
3.45,3
3.47,1
3.48,6
3.5,1
3.51,371
3.54,2
3.57,23
3.58,2
3.6,1830
3.62,2
3.63,3
3.65,30
3.66,3
3.67,1
3.69,1
3.7,1
3.71,1
3.72,10
3.73,1
3.75,1320
3.76,1
3.77,1
3.78,10
3.81,3
3.84,8
3.87,19
3.9,58
3.91,6
3.93,2
3.96,10
3.97,4
3.99,1
4.02,1
4.05,35
4.06,1
4.08,4
4.11,1
4.14,2
4.17,1
4.18,1
4.2,206
4.21,19
4.23,4
4.26,2
4.28,1
4.29,1
4.3,1
4.32,164
4.35,8
4.36,10
4.38,9
4.41,4
4.44,9
4.46,1
4.47,1
4.49,7
4.5,1355
4.51,44
4.53,3
4.56,5
4.58,1
4.59,2
4.62,3
4.65,3
4.68,182
4.7,1
4.74,1
4.77,6
4.79,4
4.8,1024
4.83,3
4.86,5
4.87,1
4.89,1
4.92,1
4.93,2
4.94,1
4.95,6
4.98,2
4.99,1
5.0,1
5.01,1
5.04,6
5.07,4
5.1,82
5.11,6
5.12,1
5.13,1
5.16,9
5.19,1
5.2,1
5.21,2
5.22,32
5.25,5
5.26,120
5.28,5
5.31,3
5.34,1
5.37,1
5.39,1
5.4,179
5.41,1
5.46,1
5.49,2
5.5,1
5.52,7
5.55,2
5.56,1
5.62,40
5.64,1
5.67,1
5.69,1
5.7,41
5.73,3
5.76,6
5.79,4
5.82,2
5.85,69
5.88,2
5.91,3
5.94,3
5.97,4
5.99,4
6.0,7703
6.01,2
6.02,1
6.03,2
6.06,1
6.08,1
6.09,1
6.15,4
6.18,2
6.24,5
6.27,1
6.3,37
6.32,1
6.36,4
6.42,4
6.45,1
6.48,34
6.51,2
6.57,3
6.6,90
6.63,3
6.66,2
6.67,1
6.69,2
6.72,6
6.75,178
6.78,2
6.84,4
6.87,2
6.9,73
6.93,2
6.96,1
6.99,2
7.02,40
7.05,6
7.08,3
7.1,1
