,count
12.27,1
12.3,17
12.32,1
12.42,3
12.45,5
12.48,2
12.51,2
12.54,1
12.59,1
12.6,42
12.62,1
12.63,1
12.69,1
12.84,1
12.87,1
12.9,16
12.96,27
13.08,1
13.2,40
13.23,1
13.32,3
13.35,1
13.38,1
13.41,1
13.44,2
13.5,107
13.53,3
13.56,2
13.59,1
13.64,1
13.65,17
13.68,1
13.71,1
13.8,21
13.82,1
13.86,3
13.88,1
13.92,2
14.01,1
14.04,2
14.07,1
14.1,15
14.16,2
14.17,2
14.19,1
14.22,2
14.4,129
14.42,1
14.52,2
14.58,2
14.61,1
14.64,1
14.7,10
14.88,2
14.94,1
14.97,1
15.0,1804
15.01,13
15.02,2
15.03,4
15.06,1
15.09,2
15.12,3
15.15,1
15.18,1
15.24,1
15.29,1
15.3,18
15.33,1
15.36,2
15.39,2
15.45,2
15.48,2
15.51,1
15.54,2
15.57,1
15.6,29
15.72,1
15.75,2
15.78,3
15.84,4
15.9,4
15.96,2
15.98,1
16.05,1
16.17,1
16.2,46
16.23,1
16.32,2
16.38,1
16.41,4
16.5,15
16.53,3
16.65,3
16.74,6
16.8,61
16.88,1
16.92,3
17.03,1
17.04,1
17.1,7
17.13,1
17.16,1
17.22,4
17.25,3
17.28,13
17.31,1
17.34,1
17.37,1
17.4,18
17.43,1
17.58,3
17.64,1
17.67,1
17.7,2
17.76,2
17.79,2
17.82,1
17.85,3
17.91,4
18.0,1151
18.01,3
18.03,1
18.09,1
18.15,1
18.21,1
18.24,3
18.27,1
18.3,3
18.33,1
18.37,1
18.42,1
18.55,1
18.6,7
18.66,1
18.72,18
18.75,4
18.78,1
18.81,1
18.87,1
18.88,1
18.9,5
18.93,1
18.99,2
19.05,1
19.11,1
19.2,34
19.32,1
19.47,1
19.5,124
19.53,1
19.59,1
19.62,1
19.71,1
19.74,2
19.78,1
19.8,11
19.98,1
20.01,1
20.04,1
20.1,7
20.16,1
20.22,1
20.28,1
20.34,2
20.35,1
20.4,10
20.52,3
20.61,1
20.64,4
20.67,1
20.7,4
20.85,1
20.97,1
21.0,493
21.01,2
21.03,1
21.06,1
21.12,1
21.24,2
21.27,1
21.3,1
21.36,5
21.41,1
21.51,1
21.6,491
21.63,1
21.72,1
21.78,1
21.89,1
21.9,4
21.93,1
21.96,2
22.05,1
22.08,1
22.2,15
22.26,3
22.32,2
22.35,1
22.41,1
22.44,1
22.5,61
22.56,2
22.62,1
22.8,7
22.95,1
23.04,2
23.1,4
23.22,1
23.28,1
23.4,9
23.52,2
23.62,1
23.7,4
23.76,2
23.79,2
23.82,1
23.85,1
23.91,2
23.94,1
24.0,752
24.03,1
24.06,2
24.3,6
24.39,1
24.48,1
24.51,1
24.54,1
24.6,4
24.72,1
24.84,2
24.9,6
25.2,18
25.32,1
25.38,1
25.44,2
25.5,21
25.62,1
25.68,1
25.8,8
25.89,1
25.95,1
26.1,5
26.4,11
26.61,1
26.65,1
26.68,1
26.7,1
26.73,1
26.76,1
26.88,1
27.0,377
27.01,1
27.03,1
27.06,1
27.09,2
27.24,1
27.3,2
27.45,1
27.6,16
27.84,1
27.9,2
28.02,1
28.14,2
28.2,2
28.35,1
28.38,1
28.5,5
28.8,20
28.92,1
29.1,3
29.16,1
29.4,2
29.52,1
29.7,1
29.74,1
29.84,1
29.97,2
30.0,2173
30.01,1
30.02,1
30.08,1
30.24,2
30.3,3
30.57,1
30.6,4
30.72,1
30.9,1
30.96,2
31.2,6
31.21,1
31.32,2
31.35,1
31.44,1
31.5,4
31.51,1
31.56,1
31.65,1
31.8,2
31.99,1
32.04,1
32.13,1
32.39,1
32.4,9
32.41,1
32.55,1
32.64,2
32.7,1
32.88,1
32.91,1
33.0,14
33.3,10
33.36,1
33.48,3
33.6,561
33.75,6
33.9,1
34.14,1
34.2,13
34.41,1
34.5,3
34.56,1
34.8,13
35.1,1
35.4,1
35.52,1
35.61,1
35.7,4
36.0,150
36.3,2
36.33,1
36.6,3
36.61,1
37.2,7
37.5,9
37.52,1
37.8,1
37.96,1
38.07,1
38.1,3
38.4,7
38.7,2
39.0,7
39.01,4
39.3,5
39.6,7
39.96,1
40.12,1
40.2,1
40.5,9
40.74,1
40.75,2
40.8,5
41.1,1
41.16,1
41.25,1
41.4,2
41.51,1
41.64,1
41.93,1
42.0,49
42.01,10
42.12,132
42.3,1
42.36,1
42.51,1
42.6,6
42.62,1
42.84,2
42.9,2
43.05,1
43.2,224
43.5,4
