Start of Range,End of Range,Frequency
0.1,0.2,212871
0.2,0.3,163071
0.3,0.4,41725
0.4,0.5,19499
0.5,0.6,48639
0.6,0.7,8208
0.7,0.8,14950
0.8,0.9,23058
0.9,1.0,398
1.0,1.1,3499
1.1,1.2,19587
1.2,1.3,177
1.3,1.4,3247
1.4,1.5,12096
1.5,1.6,2328
1.6,1.7,1500
1.7,1.8,6338
1.8,1.9,2458
1.9,2.0,165
2.0,2.1,1477
2.1,2.2,288
2.2,2.3,3286
2.3,2.4,4218
2.4,2.5,188
2.5,2.6,55
2.6,2.7,1855
2.7,2.8,15
2.8,2.9,48
2.9,3.0,15578
3.0,3.1,55
3.1,3.2,17
3.2,3.3,133
3.3,3.4,451
3.4,3.5,13
3.5,3.6,2228
3.6,3.7,41
3.7,3.8,1344
3.8,3.9,88
3.9,4.0,23
4.0,4.1,41
4.1,4.2,211
4.2,4.3,28
4.3,4.4,191
4.4,4.5,1377
4.5,4.6,55
4.6,4.7,189
4.7,4.8,1035
4.8,4.9,10
4.9,5.0,14
5.0,5.1,93
5.1,5.2,19
5.2,5.3,164
5.3,5.4,185
5.4,5.5,5
5.5,5.6,10
5.6,5.7,84
5.7,5.8,13
5.8,5.9,73
5.9,6.0,7717
6.0,6.1,8
6.1,6.2,6
6.2,6.3,43
6.3,6.4,5
6.4,6.5,39
6.5,6.6,95
6.6,6.7,8
6.7,6.8,186
6.8,6.9,79
6.9,7.0,5
7.0,7.1,50
7.1,7.2,437
7.2,7.3,1
7.3,7.4,21
7.4,7.5,1143
7.5,7.6,8
7.6,7.7,14
7.7,7.8,144
7.8,7.9,5
7.9,8.0,7
8.0,8.1,93
8.1,8.2,14
8.2,8.3,11
8.3,8.4,307
8.4,8.5,8
8.5,8.6,3
8.6,8.7,52
8.7,8.8,27
8.8,8.9,4
8.9,9.0,2908
9.0,9.1,7
9.1,9.2,5
9.2,9.3,38
9.3,9.4,8
9.4,9.5,5
9.5,9.6,226
9.6,9.7,11
9.7,9.8,36
9.8,9.9,48
9.9,10.0,10
10.0,10.1,7
10.1,10.2,62
10.2,10.3,5
10.3,10.4,5
10.4,10.5,235
10.5,10.6,12
10.6,10.7,7
10.7,10.8,333
10.8,10.9,3
10.9,11.0,4
11.0,11.1,33
11.1,11.2,9
11.2,11.3,14
11.3,11.4,62
11.4,11.5,11
11.5,11.6,7
11.6,11.7,68
11.7,11.8,1
11.8,11.9,2
11.9,12.0,2041
12.0,12.1,18
12.1,12.2,7
12.2,12.3,4
